city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Manisa,0.24418219825931392,0.24129266763176738,3054606.8273674264,4668866.976158432,-0.5851466257472584,1.6983858070787368
Aydin,0.25565674526149446,0.236492725343924,3100247.818592668,4558257.460986448,-0.6247547883329343,1.7705869690596194
Burdur,0.26407536868570236,0.2876123464647234,3371121.5355399414,4539481.965294769,-0.5010821156858807,1.9600797628003308
Afyon,0.26211498353122487,0.3143262184557478,3400810.443734508,4685981.31668798,-0.4039524125106633,1.9251673056793843
Balikesir,0.23329989063371454,0.27090680522097743,3104700.5982243987,4815268.65800268,-0.47795995041722517,1.6772542891036044
Eskisehir,0.2584205172002546,0.3361520411973035,3398584.053918643,4836196.803919815,-0.32054818028486043,1.8673644368689055
Adapazari,0.25348201003892146,0.3557510970152413,3385782.3124774145,4982886.316570544,-0.24436834019153864,1.8037598032527031
Izmit,0.24873444747050796,0.34353736103508603,3331859.1511371536,4979357.64757784,-0.2730758690939181,1.7687607805238812
Bilecik,0.25283795840347484,0.3310306047792433,3337692.2924547214,4887763.872814637,-0.32171358596257527,1.8070207152499145
Istanbul,0.23304985060209307,0.32820438869231167,3229378.427912866,5027841.49785153,-0.29658581694474506,1.6815591585385667
Denizli,0.2609926036839062,0.26216322813102716,3237170.792268395,4547041.614953807,-0.5632104298077776,1.867019586143742
Tekirdag,0.2012056652320023,0.28865982660886547,3062399.191722955,5010999.508569096,-0.38880963242128974,1.5753977436577373
Kutahya,0.256535619863388,0.31415495496390156,3331792.3594426773,4782012.781276048,-0.3841303533811944,1.8426838654195667
Kirklareli,0.18075360714084765,0.29708526064858803,3030784.4563376657,5122559.4940693965,-0.34171584881591244,1.5122881515366493
Usak,0.25773243197068507,0.2872649091857263,3275019.419138109,4675994.463288278,-0.47190829503539256,1.8441800772952843
Soke,0.2544551952143138,0.22520435950030923,3051300.638490865,4544338.093443953,-0.6568419515875155,1.742834276817393
Izmir,0.24462464526038982,0.23139018865519814,3022524.5501208063,4641216.6214273805,-0.6166008644011161,1.6871395935651545
Luleburgaz,0.18969380847640685,0.2933691665201358,3045166.9345481573,5072516.169552904,-0.36274155584118173,1.5407329720736074
Bursa,0.24257790715882832,0.31025235216205926,3236057.5973604624,4895048.440561675,-0.36798197911835917,1.7358311249098157
Canakkale,0.1955526568788004,0.2455733631757897,2939547.0016834987,4887166.776248487,-0.5193560349007766,1.5390613510654998
Uzhgorod,0.25254692869300804,0.29397153862448894,2476858.670150336,6212311.747813017,-0.0031537090518698463,0.7307172612203898
Kiev,1.0,1.0,3397092.3727420117,6521674.167715341,0.6269208485968862,1.2346152629799962
Ivano-Frankivsk,0.3755328619232485,0.3670302932273444,2750637.825807315,6263805.550614016,0.16149057987328863,0.895829024584347
Khmelnytskyy,0.6321549648230433,0.44307727675975966,3005793.2306545763,6347267.991264452,0.33489037743042616,1.036413813460959
Lvov,0.35685350704497515,0.360063998793733,2675007.3637623647,6417749.631305822,0.21061599990840651,0.7871850182131184
Odessa,0.4029722673646519,0.4939894025246506,3418621.5622614315,5859222.79623232,0.26491103890348544,1.4974144977765178
Ternopil,0.4776924294575974,0.4019641745131072,2847786.345422603,6366303.639213243,0.26729681684976203,0.9228484815345033
Vinnytsya,0.7788318048825816,0.48401238808630465,3170557.2089777007,6313193.959964839,0.3973722853091477,1.1601672273226624
Lutsk,0.47150968845637364,0.4105781635099085,2820101.1880623177,6576697.56856246,0.3719395128114362,0.8253412050219664
Chernivtsi,0.4240329176918489,0.3925405958406713,2885579.3125469214,6157797.002154297,0.16872493353869977,1.0264568003137389
Chernobyl,0.9200498144096305,0.559768593512233,3350594.2214376605,6690465.2852641,0.6988357767913547,1.1400293206266374
Zhytomyr,0.8885020959763714,0.5047353002431468,3190661.509014965,6488918.578222936,0.5061936189886778,1.1078446520713627
Chernihiv,0.8891563927070003,0.5928227833546893,3484467.0410656543,6711095.359533545,0.7767843224800188,1.2224710410913069
Kovel,0.4061425008440646,0.3971271532304072,2751439.3261410263,6659786.418490361,0.3846569052061062,0.74794881250334
